dataset,band_index_kept,wavelength_nm,orig_band_index
549_240506-160758,0,972.55,10
549_240506-160758,1,978.89,11
549_240506-160758,2,985.23,12
549_240506-160758,3,991.56,13
549_240506-160758,4,997.9,14
549_240506-160758,5,1004.23,15
549_240506-160758,6,1010.56,16
549_240506-160758,7,1016.9,17
549_240506-160758,8,1023.23,18
549_240506-160758,9,1029.56,19
549_240506-160758,10,1035.9,20
549_240506-160758,11,1042.23,21
549_240506-160758,12,1048.56,22
549_240506-160758,13,1054.89,23
549_240506-160758,14,1061.22,24
549_240506-160758,15,1067.55,25
549_240506-160758,16,1073.88,26
549_240506-160758,17,1080.21,27
549_240506-160758,18,1086.54,28
549_240506-160758,19,1092.87,29
549_240506-160758,20,1099.19,30
549_240506-160758,21,1105.52,31
549_240506-160758,22,1111.85,32
549_240506-160758,23,1118.18,33
549_240506-160758,24,1124.5,34
549_240506-160758,25,1130.83,35
549_240506-160758,26,1137.16,36
549_240506-160758,27,1143.48,37
549_240506-160758,28,1149.81,38
549_240506-160758,29,1156.13,39
549_240506-160758,30,1162.45,40
549_240506-160758,31,1168.78,41
549_240506-160758,32,1175.1,42
549_240506-160758,33,1181.42,43
549_240506-160758,34,1187.75,44
549_240506-160758,35,1194.07,45
549_240506-160758,36,1200.39,46
549_240506-160758,37,1206.71,47
549_240506-160758,38,1213.03,48
549_240506-160758,39,1219.35,49
549_240506-160758,40,1225.67,50
549_240506-160758,41,1231.99,51
549_240506-160758,42,1238.31,52
549_240506-160758,43,1244.63,53
549_240506-160758,44,1250.95,54
549_240506-160758,45,1257.27,55
549_240506-160758,46,1263.58,56
549_240506-160758,47,1269.9,57
549_240506-160758,48,1276.22,58
549_240506-160758,49,1282.53,59
549_240506-160758,50,1288.85,60
549_240506-160758,51,1295.17,61
549_240506-160758,52,1301.48,62
549_240506-160758,53,1307.79,63
549_240506-160758,54,1314.11,64
549_240506-160758,55,1320.42,65
549_240506-160758,56,1326.74,66
549_240506-160758,57,1333.05,67
549_240506-160758,58,1339.36,68
549_240506-160758,59,1345.67,69
549_240506-160758,60,1351.99,70
549_240506-160758,61,1358.3,71
549_240506-160758,62,1364.61,72
549_240506-160758,63,1370.92,73
549_240506-160758,64,1377.23,74
549_240506-160758,65,1383.54,75
549_240506-160758,66,1389.85,76
549_240506-160758,67,1396.16,77
549_240506-160758,68,1402.47,78
549_240506-160758,69,1408.77,79
549_240506-160758,70,1415.08,80
549_240506-160758,71,1421.39,81
549_240506-160758,72,1427.7,82
549_240506-160758,73,1434.0,83
549_240506-160758,74,1440.31,84
549_240506-160758,75,1446.62,85
549_240506-160758,76,1452.92,86
549_240506-160758,77,1459.23,87
549_240506-160758,78,1465.53,88
549_240506-160758,79,1471.83,89
549_240506-160758,80,1478.14,90
549_240506-160758,81,1484.44,91
549_240506-160758,82,1490.74,92
549_240506-160758,83,1497.05,93
549_240506-160758,84,1503.35,94
549_240506-160758,85,1509.65,95
549_240506-160758,86,1515.95,96
549_240506-160758,87,1522.25,97
549_240506-160758,88,1528.55,98
549_240506-160758,89,1534.85,99
549_240506-160758,90,1541.15,100
549_240506-160758,91,1547.45,101
549_240506-160758,92,1553.75,102
549_240506-160758,93,1560.05,103
549_240506-160758,94,1566.35,104
549_240506-160758,95,1572.64,105
549_240506-160758,96,1578.94,106
549_240506-160758,97,1585.24,107
549_240506-160758,98,1591.53,108
549_240506-160758,99,1597.83,109
549_240506-160758,100,1604.13,110
549_240506-160758,101,1610.42,111
549_240506-160758,102,1616.72,112
549_240506-160758,103,1623.01,113
549_240506-160758,104,1629.3,114
549_240506-160758,105,1635.6,115
549_240506-160758,106,1641.89,116
549_240506-160758,107,1648.18,117
549_240506-160758,108,1654.48,118
549_240506-160758,109,1660.77,119
549_240506-160758,110,1667.06,120
549_240506-160758,111,1673.35,121
549_240506-160758,112,1679.64,122
549_240506-160758,113,1685.93,123
549_240506-160758,114,1692.22,124
549_240506-160758,115,1698.51,125
549_240506-160758,116,1704.8,126
549_240506-160758,117,1711.09,127
549_240506-160758,118,1717.38,128
549_240506-160758,119,1723.66,129
549_240506-160758,120,1729.95,130
549_240506-160758,121,1736.24,131
549_240506-160758,122,1742.53,132
549_240506-160758,123,1748.81,133
549_240506-160758,124,1755.1,134
549_240506-160758,125,1761.38,135
549_240506-160758,126,1767.67,136
549_240506-160758,127,1773.95,137
549_240506-160758,128,1780.24,138
549_240506-160758,129,1786.52,139
549_240506-160758,130,1792.8,140
549_240506-160758,131,1799.09,141
549_240506-160758,132,1805.37,142
549_240506-160758,133,1811.65,143
549_240506-160758,134,1817.93,144
549_240506-160758,135,1824.21,145
549_240506-160758,136,1830.5,146
549_240506-160758,137,1836.78,147
549_240506-160758,138,1843.06,148
549_240506-160758,139,1849.34,149
549_240506-160758,140,1855.61,150
549_240506-160758,141,1861.89,151
549_240506-160758,142,1868.17,152
549_240506-160758,143,1874.45,153
549_240506-160758,144,1880.73,154
549_240506-160758,145,1887.0,155
549_240506-160758,146,1893.28,156
549_240506-160758,147,1899.56,157
549_240506-160758,148,1905.83,158
549_240506-160758,149,1912.11,159
549_240506-160758,150,1918.38,160
549_240506-160758,151,1924.66,161
549_240506-160758,152,1930.93,162
549_240506-160758,153,1937.21,163
549_240506-160758,154,1943.48,164
549_240506-160758,155,1949.75,165
549_240506-160758,156,1956.03,166
549_240506-160758,157,1962.3,167
549_240506-160758,158,1968.57,168
549_240506-160758,159,1974.84,169
549_240506-160758,160,1981.11,170
549_240506-160758,161,1987.39,171
549_240506-160758,162,1993.66,172
549_240506-160758,163,1999.93,173
549_240506-160758,164,2006.19,174
549_240506-160758,165,2012.46,175
549_240506-160758,166,2018.73,176
549_240506-160758,167,2025.0,177
549_240506-160758,168,2031.27,178
549_240506-160758,169,2037.54,179
549_240506-160758,170,2043.8,180
549_240506-160758,171,2050.07,181
549_240506-160758,172,2056.34,182
549_240506-160758,173,2062.6,183
549_240506-160758,174,2068.87,184
549_240506-160758,175,2075.13,185
549_240506-160758,176,2081.4,186
549_240506-160758,177,2087.66,187
549_240506-160758,178,2093.93,188
549_240506-160758,179,2100.19,189
549_240506-160758,180,2106.45,190
549_240506-160758,181,2112.71,191
549_240506-160758,182,2118.98,192
549_240506-160758,183,2125.24,193
549_240506-160758,184,2131.5,194
549_240506-160758,185,2137.76,195
549_240506-160758,186,2144.02,196
549_240506-160758,187,2150.28,197
549_240506-160758,188,2156.54,198
549_240506-160758,189,2162.8,199
549_240506-160758,190,2169.06,200
549_240506-160758,191,2175.32,201
549_240506-160758,192,2181.58,202
549_240506-160758,193,2187.83,203
549_240506-160758,194,2194.09,204
549_240506-160758,195,2200.35,205
549_240506-160758,196,2206.6,206
549_240506-160758,197,2212.86,207
549_240506-160758,198,2219.12,208
549_240506-160758,199,2225.37,209
549_240506-160758,200,2231.63,210
549_240506-160758,201,2237.88,211
549_240506-160758,202,2244.13,212
549_240506-160758,203,2250.39,213
549_240506-160758,204,2256.64,214
549_240506-160758,205,2262.89,215
549_240506-160758,206,2269.15,216
549_240506-160758,207,2275.4,217
549_240506-160758,208,2281.65,218
549_240506-160758,209,2287.9,219
549_240506-160758,210,2294.15,220
549_240506-160758,211,2300.4,221
549_240506-160758,212,2306.65,222
