dataset,band_index_kept,wavelength_nm,orig_band_index
420_240506-160205,0,972.55,10
420_240506-160205,1,978.89,11
420_240506-160205,2,985.23,12
420_240506-160205,3,991.56,13
420_240506-160205,4,997.9,14
420_240506-160205,5,1004.23,15
420_240506-160205,6,1010.56,16
420_240506-160205,7,1016.9,17
420_240506-160205,8,1023.23,18
420_240506-160205,9,1029.56,19
420_240506-160205,10,1035.9,20
420_240506-160205,11,1042.23,21
420_240506-160205,12,1048.56,22
420_240506-160205,13,1054.89,23
420_240506-160205,14,1061.22,24
420_240506-160205,15,1067.55,25
420_240506-160205,16,1073.88,26
420_240506-160205,17,1080.21,27
420_240506-160205,18,1086.54,28
420_240506-160205,19,1092.87,29
420_240506-160205,20,1099.19,30
420_240506-160205,21,1105.52,31
420_240506-160205,22,1111.85,32
420_240506-160205,23,1118.18,33
420_240506-160205,24,1124.5,34
420_240506-160205,25,1130.83,35
420_240506-160205,26,1137.16,36
420_240506-160205,27,1143.48,37
420_240506-160205,28,1149.81,38
420_240506-160205,29,1156.13,39
420_240506-160205,30,1162.45,40
420_240506-160205,31,1168.78,41
420_240506-160205,32,1175.1,42
420_240506-160205,33,1181.42,43
420_240506-160205,34,1187.75,44
420_240506-160205,35,1194.07,45
420_240506-160205,36,1200.39,46
420_240506-160205,37,1206.71,47
420_240506-160205,38,1213.03,48
420_240506-160205,39,1219.35,49
420_240506-160205,40,1225.67,50
420_240506-160205,41,1231.99,51
420_240506-160205,42,1238.31,52
420_240506-160205,43,1244.63,53
420_240506-160205,44,1250.95,54
420_240506-160205,45,1257.27,55
420_240506-160205,46,1263.58,56
420_240506-160205,47,1269.9,57
420_240506-160205,48,1276.22,58
420_240506-160205,49,1282.53,59
420_240506-160205,50,1288.85,60
420_240506-160205,51,1295.17,61
420_240506-160205,52,1301.48,62
420_240506-160205,53,1307.79,63
420_240506-160205,54,1314.11,64
420_240506-160205,55,1320.42,65
420_240506-160205,56,1326.74,66
420_240506-160205,57,1333.05,67
420_240506-160205,58,1339.36,68
420_240506-160205,59,1345.67,69
420_240506-160205,60,1351.99,70
420_240506-160205,61,1358.3,71
420_240506-160205,62,1364.61,72
420_240506-160205,63,1370.92,73
420_240506-160205,64,1377.23,74
420_240506-160205,65,1383.54,75
420_240506-160205,66,1389.85,76
420_240506-160205,67,1396.16,77
420_240506-160205,68,1402.47,78
420_240506-160205,69,1408.77,79
420_240506-160205,70,1415.08,80
420_240506-160205,71,1421.39,81
420_240506-160205,72,1427.7,82
420_240506-160205,73,1434.0,83
420_240506-160205,74,1440.31,84
420_240506-160205,75,1446.62,85
420_240506-160205,76,1452.92,86
420_240506-160205,77,1459.23,87
420_240506-160205,78,1465.53,88
420_240506-160205,79,1471.83,89
420_240506-160205,80,1478.14,90
420_240506-160205,81,1484.44,91
420_240506-160205,82,1490.74,92
420_240506-160205,83,1497.05,93
420_240506-160205,84,1503.35,94
420_240506-160205,85,1509.65,95
420_240506-160205,86,1515.95,96
420_240506-160205,87,1522.25,97
420_240506-160205,88,1528.55,98
420_240506-160205,89,1534.85,99
420_240506-160205,90,1541.15,100
420_240506-160205,91,1547.45,101
420_240506-160205,92,1553.75,102
420_240506-160205,93,1560.05,103
420_240506-160205,94,1566.35,104
420_240506-160205,95,1572.64,105
420_240506-160205,96,1578.94,106
420_240506-160205,97,1585.24,107
420_240506-160205,98,1591.53,108
420_240506-160205,99,1597.83,109
420_240506-160205,100,1604.13,110
420_240506-160205,101,1610.42,111
420_240506-160205,102,1616.72,112
420_240506-160205,103,1623.01,113
420_240506-160205,104,1629.3,114
420_240506-160205,105,1635.6,115
420_240506-160205,106,1641.89,116
420_240506-160205,107,1648.18,117
420_240506-160205,108,1654.48,118
420_240506-160205,109,1660.77,119
420_240506-160205,110,1667.06,120
420_240506-160205,111,1673.35,121
420_240506-160205,112,1679.64,122
420_240506-160205,113,1685.93,123
420_240506-160205,114,1692.22,124
420_240506-160205,115,1698.51,125
420_240506-160205,116,1704.8,126
420_240506-160205,117,1711.09,127
420_240506-160205,118,1717.38,128
420_240506-160205,119,1723.66,129
420_240506-160205,120,1729.95,130
