dataset,band_index_kept,wavelength_nm,orig_band_index
508_240506-160326,187,2150.28,197
508_240506-160326,188,2156.54,198
508_240506-160326,189,2162.8,199
508_240506-160326,190,2169.06,200
508_240506-160326,191,2175.32,201
508_240506-160326,192,2181.58,202
508_240506-160326,193,2187.83,203
508_240506-160326,194,2194.09,204
508_240506-160326,195,2200.35,205
508_240506-160326,196,2206.6,206
508_240506-160326,197,2212.86,207
508_240506-160326,198,2219.12,208
508_240506-160326,199,2225.37,209
508_240506-160326,200,2231.63,210
508_240506-160326,201,2237.88,211
508_240506-160326,202,2244.13,212
508_240506-160326,203,2250.39,213
508_240506-160326,204,2256.64,214
508_240506-160326,205,2262.89,215
508_240506-160326,206,2269.15,216
508_240506-160326,207,2275.4,217
508_240506-160326,208,2281.65,218
508_240506-160326,209,2287.9,219
508_240506-160326,210,2294.15,220
508_240506-160326,211,2300.4,221
508_240506-160326,212,2306.65,222
508_240506-160326,213,2312.9,223
508_240506-160326,214,2319.15,224
508_240506-160326,215,2325.4,225
508_240506-160326,216,2331.65,226
508_240506-160326,217,2337.9,227
508_240506-160326,218,2344.14,228
508_240506-160326,219,2350.39,229
508_240506-160326,220,2356.64,230
508_240506-160326,221,2362.88,231
508_240506-160326,222,2369.13,232
508_240506-160326,223,2375.37,233
508_240506-160326,224,2381.62,234
508_240506-160326,225,2387.86,235
508_240506-160326,226,2394.11,236
508_240506-160326,227,2400.35,237
508_240506-160326,228,2406.6,238
508_240506-160326,229,2412.84,239
508_240506-160326,230,2419.08,240
508_240506-160326,231,2425.32,241
508_240506-160326,232,2431.57,242
508_240506-160326,233,2437.81,243
508_240506-160326,234,2444.05,244
508_240506-160326,235,2450.29,245
