dataset,band_index_kept,wavelength_nm,orig_band_index
426_1_240506-160058,167,2025.0,177
426_1_240506-160058,168,2031.27,178
426_1_240506-160058,169,2037.54,179
426_1_240506-160058,170,2043.8,180
426_1_240506-160058,171,2050.07,181
426_1_240506-160058,172,2056.34,182
426_1_240506-160058,173,2062.6,183
426_1_240506-160058,174,2068.87,184
426_1_240506-160058,175,2075.13,185
426_1_240506-160058,176,2081.4,186
426_1_240506-160058,177,2087.66,187
426_1_240506-160058,178,2093.93,188
426_1_240506-160058,179,2100.19,189
426_1_240506-160058,180,2106.45,190
426_1_240506-160058,181,2112.71,191
426_1_240506-160058,182,2118.98,192
426_1_240506-160058,183,2125.24,193
426_1_240506-160058,184,2131.5,194
426_1_240506-160058,185,2137.76,195
426_1_240506-160058,186,2144.02,196
426_1_240506-160058,187,2150.28,197
426_1_240506-160058,188,2156.54,198
426_1_240506-160058,189,2162.8,199
426_1_240506-160058,190,2169.06,200
426_1_240506-160058,191,2175.32,201
426_1_240506-160058,192,2181.58,202
426_1_240506-160058,193,2187.83,203
426_1_240506-160058,194,2194.09,204
426_1_240506-160058,195,2200.35,205
426_1_240506-160058,196,2206.6,206
426_1_240506-160058,197,2212.86,207
426_1_240506-160058,198,2219.12,208
426_1_240506-160058,199,2225.37,209
426_1_240506-160058,200,2231.63,210
426_1_240506-160058,201,2237.88,211
426_1_240506-160058,202,2244.13,212
426_1_240506-160058,203,2250.39,213
426_1_240506-160058,204,2256.64,214
426_1_240506-160058,205,2262.89,215
426_1_240506-160058,206,2269.15,216
426_1_240506-160058,207,2275.4,217
426_1_240506-160058,208,2281.65,218
426_1_240506-160058,209,2287.9,219
426_1_240506-160058,210,2294.15,220
426_1_240506-160058,211,2300.4,221
426_1_240506-160058,212,2306.65,222
426_1_240506-160058,213,2312.9,223
426_1_240506-160058,214,2319.15,224
426_1_240506-160058,215,2325.4,225
426_1_240506-160058,216,2331.65,226
426_1_240506-160058,217,2337.9,227
426_1_240506-160058,218,2344.14,228
426_1_240506-160058,219,2350.39,229
426_1_240506-160058,220,2356.64,230
426_1_240506-160058,221,2362.88,231
426_1_240506-160058,222,2369.13,232
426_1_240506-160058,223,2375.37,233
426_1_240506-160058,224,2381.62,234
426_1_240506-160058,225,2387.86,235
426_1_240506-160058,226,2394.11,236
426_1_240506-160058,227,2400.35,237
426_1_240506-160058,228,2406.6,238
426_1_240506-160058,229,2412.84,239
426_1_240506-160058,230,2419.08,240
426_1_240506-160058,231,2425.32,241
426_1_240506-160058,232,2431.57,242
426_1_240506-160058,233,2437.81,243
426_1_240506-160058,234,2444.05,244
426_1_240506-160058,235,2450.29,245
