dataset,band_index_kept,wavelength_nm,orig_band_index
491_240506-160846,0,972.55,10
491_240506-160846,1,978.89,11
491_240506-160846,2,985.23,12
491_240506-160846,3,991.56,13
491_240506-160846,4,997.9,14
491_240506-160846,5,1004.23,15
491_240506-160846,6,1010.56,16
491_240506-160846,7,1016.9,17
491_240506-160846,8,1023.23,18
491_240506-160846,9,1029.56,19
491_240506-160846,10,1035.9,20
491_240506-160846,11,1042.23,21
491_240506-160846,12,1048.56,22
491_240506-160846,13,1054.89,23
491_240506-160846,14,1061.22,24
491_240506-160846,15,1067.55,25
491_240506-160846,16,1073.88,26
491_240506-160846,17,1080.21,27
491_240506-160846,18,1086.54,28
491_240506-160846,19,1092.87,29
491_240506-160846,20,1099.19,30
491_240506-160846,21,1105.52,31
491_240506-160846,22,1111.85,32
491_240506-160846,23,1118.18,33
491_240506-160846,24,1124.5,34
491_240506-160846,25,1130.83,35
491_240506-160846,26,1137.16,36
491_240506-160846,27,1143.48,37
491_240506-160846,28,1149.81,38
491_240506-160846,29,1156.13,39
491_240506-160846,30,1162.45,40
491_240506-160846,31,1168.78,41
491_240506-160846,32,1175.1,42
491_240506-160846,33,1181.42,43
491_240506-160846,34,1187.75,44
491_240506-160846,35,1194.07,45
491_240506-160846,36,1200.39,46
491_240506-160846,37,1206.71,47
491_240506-160846,38,1213.03,48
491_240506-160846,39,1219.35,49
491_240506-160846,40,1225.67,50
491_240506-160846,41,1231.99,51
491_240506-160846,42,1238.31,52
491_240506-160846,43,1244.63,53
491_240506-160846,44,1250.95,54
491_240506-160846,45,1257.27,55
491_240506-160846,46,1263.58,56
491_240506-160846,47,1269.9,57
491_240506-160846,48,1276.22,58
491_240506-160846,49,1282.53,59
491_240506-160846,50,1288.85,60
491_240506-160846,51,1295.17,61
491_240506-160846,52,1301.48,62
491_240506-160846,53,1307.79,63
491_240506-160846,54,1314.11,64
491_240506-160846,55,1320.42,65
491_240506-160846,56,1326.74,66
491_240506-160846,57,1333.05,67
491_240506-160846,58,1339.36,68
491_240506-160846,59,1345.67,69
491_240506-160846,60,1351.99,70
491_240506-160846,61,1358.3,71
491_240506-160846,62,1364.61,72
491_240506-160846,63,1370.92,73
491_240506-160846,64,1377.23,74
491_240506-160846,65,1383.54,75
491_240506-160846,66,1389.85,76
491_240506-160846,67,1396.16,77
491_240506-160846,68,1402.47,78
491_240506-160846,69,1408.77,79
491_240506-160846,70,1415.08,80
491_240506-160846,71,1421.39,81
491_240506-160846,72,1427.7,82
491_240506-160846,73,1434.0,83
491_240506-160846,74,1440.31,84
491_240506-160846,75,1446.62,85
491_240506-160846,76,1452.92,86
491_240506-160846,77,1459.23,87
491_240506-160846,78,1465.53,88
491_240506-160846,79,1471.83,89
491_240506-160846,80,1478.14,90
491_240506-160846,81,1484.44,91
491_240506-160846,82,1490.74,92
491_240506-160846,83,1497.05,93
491_240506-160846,84,1503.35,94
491_240506-160846,85,1509.65,95
491_240506-160846,86,1515.95,96
491_240506-160846,87,1522.25,97
491_240506-160846,88,1528.55,98
491_240506-160846,89,1534.85,99
491_240506-160846,90,1541.15,100
491_240506-160846,91,1547.45,101
491_240506-160846,92,1553.75,102
491_240506-160846,93,1560.05,103
491_240506-160846,94,1566.35,104
491_240506-160846,95,1572.64,105
491_240506-160846,96,1578.94,106
491_240506-160846,97,1585.24,107
491_240506-160846,98,1591.53,108
491_240506-160846,99,1597.83,109
491_240506-160846,100,1604.13,110
491_240506-160846,101,1610.42,111
491_240506-160846,102,1616.72,112
491_240506-160846,103,1623.01,113
491_240506-160846,104,1629.3,114
491_240506-160846,105,1635.6,115
491_240506-160846,106,1641.89,116
491_240506-160846,107,1648.18,117
491_240506-160846,108,1654.48,118
491_240506-160846,109,1660.77,119
491_240506-160846,110,1667.06,120
491_240506-160846,111,1673.35,121
491_240506-160846,112,1679.64,122
491_240506-160846,113,1685.93,123
491_240506-160846,114,1692.22,124
491_240506-160846,115,1698.51,125
491_240506-160846,116,1704.8,126
491_240506-160846,117,1711.09,127
491_240506-160846,118,1717.38,128
491_240506-160846,119,1723.66,129
491_240506-160846,120,1729.95,130
491_240506-160846,121,1736.24,131
491_240506-160846,122,1742.53,132
491_240506-160846,123,1748.81,133
491_240506-160846,124,1755.1,134
491_240506-160846,125,1761.38,135
491_240506-160846,126,1767.67,136
491_240506-160846,127,1773.95,137
491_240506-160846,128,1780.24,138
491_240506-160846,129,1786.52,139
491_240506-160846,130,1792.8,140
491_240506-160846,131,1799.09,141
491_240506-160846,132,1805.37,142
491_240506-160846,133,1811.65,143
491_240506-160846,134,1817.93,144
491_240506-160846,135,1824.21,145
491_240506-160846,136,1830.5,146
491_240506-160846,137,1836.78,147
491_240506-160846,138,1843.06,148
491_240506-160846,139,1849.34,149
491_240506-160846,140,1855.61,150
491_240506-160846,141,1861.89,151
491_240506-160846,142,1868.17,152
491_240506-160846,143,1874.45,153
491_240506-160846,144,1880.73,154
491_240506-160846,145,1887.0,155
491_240506-160846,146,1893.28,156
491_240506-160846,147,1899.56,157
491_240506-160846,148,1905.83,158
491_240506-160846,149,1912.11,159
491_240506-160846,150,1918.38,160
491_240506-160846,151,1924.66,161
491_240506-160846,152,1930.93,162
491_240506-160846,153,1937.21,163
491_240506-160846,154,1943.48,164
491_240506-160846,155,1949.75,165
491_240506-160846,156,1956.03,166
491_240506-160846,157,1962.3,167
491_240506-160846,158,1968.57,168
491_240506-160846,159,1974.84,169
491_240506-160846,160,1981.11,170
491_240506-160846,161,1987.39,171
491_240506-160846,162,1993.66,172
491_240506-160846,163,1999.93,173
491_240506-160846,164,2006.19,174
491_240506-160846,165,2012.46,175
491_240506-160846,166,2018.73,176
491_240506-160846,167,2025.0,177
491_240506-160846,168,2031.27,178
491_240506-160846,169,2037.54,179
491_240506-160846,170,2043.8,180
491_240506-160846,171,2050.07,181
491_240506-160846,172,2056.34,182
491_240506-160846,173,2062.6,183
491_240506-160846,174,2068.87,184
491_240506-160846,175,2075.13,185
491_240506-160846,176,2081.4,186
491_240506-160846,177,2087.66,187
491_240506-160846,178,2093.93,188
491_240506-160846,179,2100.19,189
491_240506-160846,180,2106.45,190
491_240506-160846,181,2112.71,191
491_240506-160846,182,2118.98,192
491_240506-160846,183,2125.24,193
491_240506-160846,184,2131.5,194
491_240506-160846,185,2137.76,195
491_240506-160846,186,2144.02,196
491_240506-160846,187,2150.28,197
491_240506-160846,188,2156.54,198
491_240506-160846,189,2162.8,199
491_240506-160846,190,2169.06,200
491_240506-160846,191,2175.32,201
491_240506-160846,192,2181.58,202
491_240506-160846,193,2187.83,203
491_240506-160846,194,2194.09,204
491_240506-160846,195,2200.35,205
491_240506-160846,196,2206.6,206
491_240506-160846,197,2212.86,207
491_240506-160846,198,2219.12,208
491_240506-160846,199,2225.37,209
491_240506-160846,200,2231.63,210
491_240506-160846,201,2237.88,211
491_240506-160846,202,2244.13,212
491_240506-160846,203,2250.39,213
491_240506-160846,204,2256.64,214
491_240506-160846,205,2262.89,215
491_240506-160846,206,2269.15,216
491_240506-160846,207,2275.4,217
491_240506-160846,208,2281.65,218
491_240506-160846,209,2287.9,219
491_240506-160846,210,2294.15,220
491_240506-160846,211,2300.4,221
491_240506-160846,212,2306.65,222
491_240506-160846,213,2312.9,223
491_240506-160846,214,2319.15,224
491_240506-160846,215,2325.4,225
491_240506-160846,216,2331.65,226
491_240506-160846,217,2337.9,227
491_240506-160846,218,2344.14,228
491_240506-160846,219,2350.39,229
491_240506-160846,220,2356.64,230
491_240506-160846,221,2362.88,231
491_240506-160846,222,2369.13,232
491_240506-160846,223,2375.37,233
491_240506-160846,224,2381.62,234
491_240506-160846,225,2387.86,235
491_240506-160846,226,2394.11,236
491_240506-160846,227,2400.35,237
491_240506-160846,228,2406.6,238
491_240506-160846,229,2412.84,239
491_240506-160846,230,2419.08,240
491_240506-160846,231,2425.32,241
491_240506-160846,232,2431.57,242
491_240506-160846,233,2437.81,243
491_240506-160846,234,2444.05,244
491_240506-160846,235,2450.29,245
