dataset,band_index_kept,wavelength_nm,orig_band_index
534_240506-160510,0,972.55,10
534_240506-160510,1,978.89,11
534_240506-160510,2,985.23,12
534_240506-160510,3,991.56,13
534_240506-160510,4,997.9,14
534_240506-160510,5,1004.23,15
534_240506-160510,6,1010.56,16
534_240506-160510,7,1016.9,17
534_240506-160510,8,1023.23,18
534_240506-160510,9,1029.56,19
534_240506-160510,10,1035.9,20
534_240506-160510,11,1042.23,21
534_240506-160510,12,1048.56,22
534_240506-160510,13,1054.89,23
534_240506-160510,14,1061.22,24
534_240506-160510,15,1067.55,25
534_240506-160510,16,1073.88,26
534_240506-160510,17,1080.21,27
534_240506-160510,18,1086.54,28
534_240506-160510,19,1092.87,29
534_240506-160510,20,1099.19,30
534_240506-160510,21,1105.52,31
534_240506-160510,22,1111.85,32
534_240506-160510,23,1118.18,33
534_240506-160510,24,1124.5,34
534_240506-160510,25,1130.83,35
534_240506-160510,26,1137.16,36
534_240506-160510,27,1143.48,37
534_240506-160510,28,1149.81,38
534_240506-160510,29,1156.13,39
534_240506-160510,30,1162.45,40
534_240506-160510,31,1168.78,41
534_240506-160510,32,1175.1,42
534_240506-160510,33,1181.42,43
534_240506-160510,34,1187.75,44
534_240506-160510,35,1194.07,45
534_240506-160510,36,1200.39,46
534_240506-160510,37,1206.71,47
534_240506-160510,38,1213.03,48
534_240506-160510,39,1219.35,49
534_240506-160510,40,1225.67,50
534_240506-160510,41,1231.99,51
534_240506-160510,42,1238.31,52
534_240506-160510,43,1244.63,53
534_240506-160510,44,1250.95,54
534_240506-160510,45,1257.27,55
534_240506-160510,46,1263.58,56
534_240506-160510,47,1269.9,57
534_240506-160510,48,1276.22,58
534_240506-160510,49,1282.53,59
534_240506-160510,50,1288.85,60
534_240506-160510,51,1295.17,61
534_240506-160510,52,1301.48,62
534_240506-160510,53,1307.79,63
534_240506-160510,54,1314.11,64
534_240506-160510,55,1320.42,65
534_240506-160510,56,1326.74,66
534_240506-160510,57,1333.05,67
534_240506-160510,58,1339.36,68
534_240506-160510,59,1345.67,69
534_240506-160510,60,1351.99,70
534_240506-160510,61,1358.3,71
534_240506-160510,62,1364.61,72
534_240506-160510,63,1370.92,73
534_240506-160510,64,1377.23,74
534_240506-160510,65,1383.54,75
534_240506-160510,66,1389.85,76
534_240506-160510,67,1396.16,77
534_240506-160510,68,1402.47,78
534_240506-160510,69,1408.77,79
534_240506-160510,70,1415.08,80
534_240506-160510,71,1421.39,81
534_240506-160510,72,1427.7,82
534_240506-160510,73,1434.0,83
534_240506-160510,74,1440.31,84
534_240506-160510,75,1446.62,85
534_240506-160510,76,1452.92,86
534_240506-160510,77,1459.23,87
534_240506-160510,78,1465.53,88
534_240506-160510,79,1471.83,89
534_240506-160510,80,1478.14,90
534_240506-160510,81,1484.44,91
534_240506-160510,82,1490.74,92
534_240506-160510,83,1497.05,93
534_240506-160510,84,1503.35,94
534_240506-160510,85,1509.65,95
534_240506-160510,86,1515.95,96
534_240506-160510,87,1522.25,97
534_240506-160510,88,1528.55,98
534_240506-160510,89,1534.85,99
534_240506-160510,90,1541.15,100
534_240506-160510,91,1547.45,101
534_240506-160510,92,1553.75,102
534_240506-160510,93,1560.05,103
534_240506-160510,94,1566.35,104
534_240506-160510,95,1572.64,105
534_240506-160510,96,1578.94,106
534_240506-160510,97,1585.24,107
534_240506-160510,98,1591.53,108
534_240506-160510,99,1597.83,109
534_240506-160510,100,1604.13,110
534_240506-160510,101,1610.42,111
534_240506-160510,102,1616.72,112
534_240506-160510,103,1623.01,113
534_240506-160510,104,1629.3,114
534_240506-160510,105,1635.6,115
534_240506-160510,106,1641.89,116
534_240506-160510,107,1648.18,117
534_240506-160510,108,1654.48,118
534_240506-160510,109,1660.77,119
534_240506-160510,110,1667.06,120
534_240506-160510,111,1673.35,121
534_240506-160510,112,1679.64,122
534_240506-160510,113,1685.93,123
534_240506-160510,114,1692.22,124
534_240506-160510,115,1698.51,125
534_240506-160510,116,1704.8,126
534_240506-160510,117,1711.09,127
534_240506-160510,118,1717.38,128
534_240506-160510,119,1723.66,129
534_240506-160510,120,1729.95,130
534_240506-160510,121,1736.24,131
534_240506-160510,122,1742.53,132
534_240506-160510,123,1748.81,133
534_240506-160510,124,1755.1,134
534_240506-160510,125,1761.38,135
534_240506-160510,126,1767.67,136
534_240506-160510,127,1773.95,137
534_240506-160510,128,1780.24,138
534_240506-160510,129,1786.52,139
534_240506-160510,130,1792.8,140
534_240506-160510,131,1799.09,141
534_240506-160510,132,1805.37,142
534_240506-160510,133,1811.65,143
534_240506-160510,134,1817.93,144
534_240506-160510,135,1824.21,145
534_240506-160510,136,1830.5,146
534_240506-160510,137,1836.78,147
534_240506-160510,138,1843.06,148
534_240506-160510,139,1849.34,149
534_240506-160510,140,1855.61,150
534_240506-160510,141,1861.89,151
534_240506-160510,142,1868.17,152
534_240506-160510,143,1874.45,153
534_240506-160510,144,1880.73,154
534_240506-160510,145,1887.0,155
534_240506-160510,146,1893.28,156
534_240506-160510,147,1899.56,157
534_240506-160510,148,1905.83,158
534_240506-160510,149,1912.11,159
534_240506-160510,150,1918.38,160
534_240506-160510,151,1924.66,161
534_240506-160510,152,1930.93,162
534_240506-160510,153,1937.21,163
534_240506-160510,154,1943.48,164
534_240506-160510,155,1949.75,165
534_240506-160510,156,1956.03,166
534_240506-160510,157,1962.3,167
534_240506-160510,158,1968.57,168
534_240506-160510,159,1974.84,169
534_240506-160510,160,1981.11,170
534_240506-160510,161,1987.39,171
534_240506-160510,162,1993.66,172
534_240506-160510,163,1999.93,173
534_240506-160510,164,2006.19,174
534_240506-160510,165,2012.46,175
534_240506-160510,166,2018.73,176
534_240506-160510,167,2025.0,177
534_240506-160510,168,2031.27,178
534_240506-160510,169,2037.54,179
534_240506-160510,170,2043.8,180
534_240506-160510,171,2050.07,181
534_240506-160510,172,2056.34,182
534_240506-160510,173,2062.6,183
534_240506-160510,174,2068.87,184
534_240506-160510,175,2075.13,185
534_240506-160510,176,2081.4,186
534_240506-160510,177,2087.66,187
534_240506-160510,178,2093.93,188
534_240506-160510,179,2100.19,189
534_240506-160510,180,2106.45,190
534_240506-160510,181,2112.71,191
534_240506-160510,182,2118.98,192
534_240506-160510,183,2125.24,193
534_240506-160510,184,2131.5,194
534_240506-160510,185,2137.76,195
534_240506-160510,186,2144.02,196
534_240506-160510,187,2150.28,197
534_240506-160510,188,2156.54,198
534_240506-160510,189,2162.8,199
534_240506-160510,190,2169.06,200
534_240506-160510,191,2175.32,201
534_240506-160510,192,2181.58,202
534_240506-160510,193,2187.83,203
534_240506-160510,194,2194.09,204
534_240506-160510,195,2200.35,205
534_240506-160510,196,2206.6,206
534_240506-160510,197,2212.86,207
534_240506-160510,198,2219.12,208
534_240506-160510,199,2225.37,209
534_240506-160510,200,2231.63,210
534_240506-160510,201,2237.88,211
534_240506-160510,202,2244.13,212
534_240506-160510,203,2250.39,213
534_240506-160510,204,2256.64,214
534_240506-160510,205,2262.89,215
534_240506-160510,206,2269.15,216
534_240506-160510,207,2275.4,217
534_240506-160510,208,2281.65,218
534_240506-160510,209,2287.9,219
534_240506-160510,210,2294.15,220
534_240506-160510,211,2300.4,221
534_240506-160510,212,2306.65,222
534_240506-160510,213,2312.9,223
534_240506-160510,214,2319.15,224
534_240506-160510,215,2325.4,225
534_240506-160510,216,2331.65,226
534_240506-160510,217,2337.9,227
534_240506-160510,218,2344.14,228
534_240506-160510,219,2350.39,229
534_240506-160510,220,2356.64,230
534_240506-160510,221,2362.88,231
534_240506-160510,222,2369.13,232
534_240506-160510,223,2375.37,233
534_240506-160510,224,2381.62,234
534_240506-160510,225,2387.86,235
534_240506-160510,226,2394.11,236
534_240506-160510,227,2400.35,237
534_240506-160510,228,2406.6,238
534_240506-160510,229,2412.84,239
534_240506-160510,230,2419.08,240
534_240506-160510,231,2425.32,241
534_240506-160510,232,2431.57,242
534_240506-160510,233,2437.81,243
534_240506-160510,234,2444.05,244
534_240506-160510,235,2450.29,245
