dataset,band_index_kept,wavelength_nm,orig_band_index
559_240506-160951,0,972.55,10
559_240506-160951,1,978.89,11
559_240506-160951,2,985.23,12
559_240506-160951,3,991.56,13
559_240506-160951,4,997.9,14
559_240506-160951,5,1004.23,15
559_240506-160951,6,1010.56,16
559_240506-160951,7,1016.9,17
559_240506-160951,8,1023.23,18
559_240506-160951,9,1029.56,19
559_240506-160951,10,1035.9,20
559_240506-160951,11,1042.23,21
559_240506-160951,12,1048.56,22
559_240506-160951,13,1054.89,23
559_240506-160951,14,1061.22,24
559_240506-160951,15,1067.55,25
559_240506-160951,16,1073.88,26
559_240506-160951,17,1080.21,27
559_240506-160951,18,1086.54,28
559_240506-160951,19,1092.87,29
559_240506-160951,20,1099.19,30
559_240506-160951,21,1105.52,31
559_240506-160951,22,1111.85,32
559_240506-160951,23,1118.18,33
559_240506-160951,24,1124.5,34
559_240506-160951,25,1130.83,35
559_240506-160951,26,1137.16,36
559_240506-160951,27,1143.48,37
559_240506-160951,28,1149.81,38
559_240506-160951,29,1156.13,39
559_240506-160951,30,1162.45,40
559_240506-160951,31,1168.78,41
559_240506-160951,32,1175.1,42
559_240506-160951,33,1181.42,43
559_240506-160951,34,1187.75,44
559_240506-160951,35,1194.07,45
559_240506-160951,36,1200.39,46
559_240506-160951,37,1206.71,47
559_240506-160951,38,1213.03,48
559_240506-160951,39,1219.35,49
559_240506-160951,40,1225.67,50
559_240506-160951,41,1231.99,51
559_240506-160951,42,1238.31,52
559_240506-160951,43,1244.63,53
559_240506-160951,44,1250.95,54
559_240506-160951,45,1257.27,55
559_240506-160951,46,1263.58,56
559_240506-160951,47,1269.9,57
559_240506-160951,48,1276.22,58
559_240506-160951,49,1282.53,59
559_240506-160951,50,1288.85,60
559_240506-160951,51,1295.17,61
559_240506-160951,52,1301.48,62
559_240506-160951,53,1307.79,63
559_240506-160951,54,1314.11,64
559_240506-160951,55,1320.42,65
559_240506-160951,56,1326.74,66
559_240506-160951,57,1333.05,67
559_240506-160951,58,1339.36,68
559_240506-160951,59,1345.67,69
559_240506-160951,60,1351.99,70
559_240506-160951,61,1358.3,71
559_240506-160951,62,1364.61,72
559_240506-160951,63,1370.92,73
559_240506-160951,64,1377.23,74
559_240506-160951,65,1383.54,75
559_240506-160951,66,1389.85,76
559_240506-160951,67,1396.16,77
559_240506-160951,68,1402.47,78
559_240506-160951,69,1408.77,79
559_240506-160951,70,1415.08,80
559_240506-160951,71,1421.39,81
559_240506-160951,72,1427.7,82
559_240506-160951,73,1434.0,83
559_240506-160951,74,1440.31,84
559_240506-160951,75,1446.62,85
559_240506-160951,76,1452.92,86
559_240506-160951,77,1459.23,87
559_240506-160951,78,1465.53,88
559_240506-160951,79,1471.83,89
559_240506-160951,80,1478.14,90
559_240506-160951,81,1484.44,91
559_240506-160951,82,1490.74,92
559_240506-160951,83,1497.05,93
559_240506-160951,84,1503.35,94
559_240506-160951,85,1509.65,95
559_240506-160951,86,1515.95,96
559_240506-160951,87,1522.25,97
559_240506-160951,88,1528.55,98
559_240506-160951,89,1534.85,99
559_240506-160951,90,1541.15,100
559_240506-160951,91,1547.45,101
559_240506-160951,92,1553.75,102
559_240506-160951,93,1560.05,103
559_240506-160951,94,1566.35,104
559_240506-160951,95,1572.64,105
559_240506-160951,96,1578.94,106
559_240506-160951,97,1585.24,107
559_240506-160951,98,1591.53,108
559_240506-160951,99,1597.83,109
559_240506-160951,100,1604.13,110
559_240506-160951,101,1610.42,111
559_240506-160951,102,1616.72,112
559_240506-160951,103,1623.01,113
559_240506-160951,104,1629.3,114
559_240506-160951,105,1635.6,115
559_240506-160951,106,1641.89,116
559_240506-160951,107,1648.18,117
559_240506-160951,108,1654.48,118
559_240506-160951,109,1660.77,119
559_240506-160951,110,1667.06,120
559_240506-160951,111,1673.35,121
559_240506-160951,112,1679.64,122
559_240506-160951,113,1685.93,123
559_240506-160951,114,1692.22,124
559_240506-160951,115,1698.51,125
559_240506-160951,116,1704.8,126
559_240506-160951,117,1711.09,127
559_240506-160951,118,1717.38,128
559_240506-160951,119,1723.66,129
559_240506-160951,120,1729.95,130
559_240506-160951,121,1736.24,131
559_240506-160951,122,1742.53,132
559_240506-160951,123,1748.81,133
559_240506-160951,124,1755.1,134
559_240506-160951,125,1761.38,135
559_240506-160951,126,1767.67,136
559_240506-160951,127,1773.95,137
559_240506-160951,128,1780.24,138
559_240506-160951,129,1786.52,139
559_240506-160951,130,1792.8,140
559_240506-160951,131,1799.09,141
559_240506-160951,132,1805.37,142
559_240506-160951,133,1811.65,143
559_240506-160951,134,1817.93,144
559_240506-160951,135,1824.21,145
559_240506-160951,136,1830.5,146
559_240506-160951,137,1836.78,147
559_240506-160951,138,1843.06,148
559_240506-160951,139,1849.34,149
559_240506-160951,140,1855.61,150
559_240506-160951,141,1861.89,151
559_240506-160951,142,1868.17,152
559_240506-160951,143,1874.45,153
559_240506-160951,144,1880.73,154
