dataset,band_index_kept,wavelength_nm,orig_band_index
553_240506-160724,0,972.55,10
553_240506-160724,1,978.89,11
553_240506-160724,2,985.23,12
553_240506-160724,3,991.56,13
553_240506-160724,4,997.9,14
553_240506-160724,5,1004.23,15
553_240506-160724,6,1010.56,16
553_240506-160724,7,1016.9,17
553_240506-160724,8,1023.23,18
553_240506-160724,9,1029.56,19
553_240506-160724,10,1035.9,20
553_240506-160724,11,1042.23,21
553_240506-160724,12,1048.56,22
553_240506-160724,13,1054.89,23
553_240506-160724,14,1061.22,24
553_240506-160724,15,1067.55,25
553_240506-160724,16,1073.88,26
553_240506-160724,17,1080.21,27
553_240506-160724,18,1086.54,28
553_240506-160724,19,1092.87,29
553_240506-160724,20,1099.19,30
553_240506-160724,21,1105.52,31
553_240506-160724,22,1111.85,32
553_240506-160724,23,1118.18,33
553_240506-160724,24,1124.5,34
553_240506-160724,25,1130.83,35
553_240506-160724,26,1137.16,36
553_240506-160724,27,1143.48,37
553_240506-160724,28,1149.81,38
553_240506-160724,29,1156.13,39
553_240506-160724,30,1162.45,40
553_240506-160724,31,1168.78,41
553_240506-160724,32,1175.1,42
553_240506-160724,33,1181.42,43
553_240506-160724,34,1187.75,44
553_240506-160724,35,1194.07,45
553_240506-160724,36,1200.39,46
553_240506-160724,37,1206.71,47
553_240506-160724,38,1213.03,48
553_240506-160724,39,1219.35,49
553_240506-160724,40,1225.67,50
553_240506-160724,41,1231.99,51
553_240506-160724,42,1238.31,52
553_240506-160724,43,1244.63,53
553_240506-160724,44,1250.95,54
553_240506-160724,45,1257.27,55
553_240506-160724,46,1263.58,56
553_240506-160724,47,1269.9,57
553_240506-160724,48,1276.22,58
553_240506-160724,49,1282.53,59
553_240506-160724,50,1288.85,60
553_240506-160724,51,1295.17,61
553_240506-160724,52,1301.48,62
553_240506-160724,53,1307.79,63
553_240506-160724,54,1314.11,64
553_240506-160724,55,1320.42,65
553_240506-160724,56,1326.74,66
553_240506-160724,57,1333.05,67
553_240506-160724,58,1339.36,68
553_240506-160724,59,1345.67,69
553_240506-160724,60,1351.99,70
553_240506-160724,61,1358.3,71
553_240506-160724,62,1364.61,72
553_240506-160724,63,1370.92,73
553_240506-160724,64,1377.23,74
553_240506-160724,65,1383.54,75
553_240506-160724,66,1389.85,76
553_240506-160724,67,1396.16,77
553_240506-160724,68,1402.47,78
553_240506-160724,69,1408.77,79
553_240506-160724,70,1415.08,80
553_240506-160724,71,1421.39,81
553_240506-160724,72,1427.7,82
553_240506-160724,73,1434.0,83
553_240506-160724,74,1440.31,84
553_240506-160724,75,1446.62,85
553_240506-160724,76,1452.92,86
553_240506-160724,77,1459.23,87
553_240506-160724,78,1465.53,88
553_240506-160724,79,1471.83,89
553_240506-160724,80,1478.14,90
553_240506-160724,81,1484.44,91
553_240506-160724,82,1490.74,92
553_240506-160724,83,1497.05,93
553_240506-160724,84,1503.35,94
553_240506-160724,85,1509.65,95
553_240506-160724,86,1515.95,96
553_240506-160724,87,1522.25,97
553_240506-160724,88,1528.55,98
553_240506-160724,89,1534.85,99
553_240506-160724,90,1541.15,100
553_240506-160724,91,1547.45,101
553_240506-160724,92,1553.75,102
553_240506-160724,93,1560.05,103
553_240506-160724,94,1566.35,104
553_240506-160724,95,1572.64,105
553_240506-160724,96,1578.94,106
553_240506-160724,97,1585.24,107
553_240506-160724,98,1591.53,108
553_240506-160724,99,1597.83,109
553_240506-160724,100,1604.13,110
553_240506-160724,101,1610.42,111
553_240506-160724,102,1616.72,112
553_240506-160724,103,1623.01,113
553_240506-160724,104,1629.3,114
553_240506-160724,105,1635.6,115
553_240506-160724,106,1641.89,116
553_240506-160724,107,1648.18,117
553_240506-160724,108,1654.48,118
553_240506-160724,109,1660.77,119
553_240506-160724,110,1667.06,120
553_240506-160724,111,1673.35,121
553_240506-160724,112,1679.64,122
553_240506-160724,113,1685.93,123
553_240506-160724,114,1692.22,124
553_240506-160724,115,1698.51,125
553_240506-160724,116,1704.8,126
553_240506-160724,117,1711.09,127
553_240506-160724,118,1717.38,128
553_240506-160724,119,1723.66,129
553_240506-160724,120,1729.95,130
553_240506-160724,121,1736.24,131
553_240506-160724,122,1742.53,132
553_240506-160724,123,1748.81,133
553_240506-160724,124,1755.1,134
553_240506-160724,125,1761.38,135
553_240506-160724,126,1767.67,136
553_240506-160724,127,1773.95,137
553_240506-160724,128,1780.24,138
553_240506-160724,129,1786.52,139
553_240506-160724,130,1792.8,140
553_240506-160724,131,1799.09,141
553_240506-160724,132,1805.37,142
553_240506-160724,133,1811.65,143
553_240506-160724,134,1817.93,144
553_240506-160724,135,1824.21,145
553_240506-160724,136,1830.5,146
553_240506-160724,137,1836.78,147
553_240506-160724,138,1843.06,148
553_240506-160724,139,1849.34,149
553_240506-160724,140,1855.61,150
553_240506-160724,141,1861.89,151
