dataset,band_index_kept,wavelength_nm,orig_band_index
351_1_240506-160920,0,972.55,10
351_1_240506-160920,1,978.89,11
351_1_240506-160920,2,985.23,12
351_1_240506-160920,3,991.56,13
351_1_240506-160920,4,997.9,14
351_1_240506-160920,5,1004.23,15
351_1_240506-160920,6,1010.56,16
351_1_240506-160920,7,1016.9,17
351_1_240506-160920,8,1023.23,18
351_1_240506-160920,9,1029.56,19
351_1_240506-160920,10,1035.9,20
351_1_240506-160920,11,1042.23,21
351_1_240506-160920,12,1048.56,22
351_1_240506-160920,13,1054.89,23
351_1_240506-160920,14,1061.22,24
351_1_240506-160920,15,1067.55,25
351_1_240506-160920,16,1073.88,26
351_1_240506-160920,17,1080.21,27
351_1_240506-160920,18,1086.54,28
351_1_240506-160920,19,1092.87,29
351_1_240506-160920,20,1099.19,30
351_1_240506-160920,21,1105.52,31
351_1_240506-160920,22,1111.85,32
351_1_240506-160920,23,1118.18,33
351_1_240506-160920,24,1124.5,34
351_1_240506-160920,25,1130.83,35
351_1_240506-160920,26,1137.16,36
351_1_240506-160920,27,1143.48,37
351_1_240506-160920,28,1149.81,38
351_1_240506-160920,29,1156.13,39
351_1_240506-160920,30,1162.45,40
351_1_240506-160920,31,1168.78,41
351_1_240506-160920,32,1175.1,42
351_1_240506-160920,33,1181.42,43
351_1_240506-160920,34,1187.75,44
351_1_240506-160920,35,1194.07,45
351_1_240506-160920,36,1200.39,46
351_1_240506-160920,37,1206.71,47
351_1_240506-160920,38,1213.03,48
351_1_240506-160920,39,1219.35,49
351_1_240506-160920,40,1225.67,50
351_1_240506-160920,41,1231.99,51
351_1_240506-160920,42,1238.31,52
351_1_240506-160920,43,1244.63,53
351_1_240506-160920,44,1250.95,54
351_1_240506-160920,45,1257.27,55
351_1_240506-160920,46,1263.58,56
351_1_240506-160920,47,1269.9,57
351_1_240506-160920,48,1276.22,58
351_1_240506-160920,49,1282.53,59
351_1_240506-160920,50,1288.85,60
351_1_240506-160920,51,1295.17,61
351_1_240506-160920,52,1301.48,62
351_1_240506-160920,53,1307.79,63
351_1_240506-160920,54,1314.11,64
351_1_240506-160920,55,1320.42,65
351_1_240506-160920,56,1326.74,66
351_1_240506-160920,57,1333.05,67
351_1_240506-160920,58,1339.36,68
351_1_240506-160920,59,1345.67,69
351_1_240506-160920,60,1351.99,70
351_1_240506-160920,61,1358.3,71
351_1_240506-160920,62,1364.61,72
351_1_240506-160920,63,1370.92,73
351_1_240506-160920,64,1377.23,74
351_1_240506-160920,65,1383.54,75
351_1_240506-160920,66,1389.85,76
351_1_240506-160920,67,1396.16,77
351_1_240506-160920,68,1402.47,78
351_1_240506-160920,69,1408.77,79
351_1_240506-160920,70,1415.08,80
351_1_240506-160920,71,1421.39,81
351_1_240506-160920,72,1427.7,82
351_1_240506-160920,73,1434.0,83
