dataset,band_index_kept,wavelength_nm,orig_band_index
537_240506-160651,0,972.55,10
537_240506-160651,1,978.89,11
537_240506-160651,2,985.23,12
537_240506-160651,3,991.56,13
537_240506-160651,4,997.9,14
537_240506-160651,5,1004.23,15
537_240506-160651,6,1010.56,16
537_240506-160651,7,1016.9,17
537_240506-160651,8,1023.23,18
537_240506-160651,9,1029.56,19
537_240506-160651,10,1035.9,20
537_240506-160651,11,1042.23,21
537_240506-160651,12,1048.56,22
537_240506-160651,13,1054.89,23
537_240506-160651,14,1061.22,24
537_240506-160651,15,1067.55,25
537_240506-160651,16,1073.88,26
537_240506-160651,17,1080.21,27
537_240506-160651,18,1086.54,28
537_240506-160651,19,1092.87,29
537_240506-160651,20,1099.19,30
537_240506-160651,21,1105.52,31
537_240506-160651,22,1111.85,32
537_240506-160651,23,1118.18,33
537_240506-160651,24,1124.5,34
537_240506-160651,25,1130.83,35
537_240506-160651,26,1137.16,36
537_240506-160651,27,1143.48,37
537_240506-160651,28,1149.81,38
537_240506-160651,29,1156.13,39
537_240506-160651,30,1162.45,40
537_240506-160651,31,1168.78,41
537_240506-160651,32,1175.1,42
537_240506-160651,33,1181.42,43
537_240506-160651,34,1187.75,44
537_240506-160651,35,1194.07,45
537_240506-160651,36,1200.39,46
537_240506-160651,37,1206.71,47
537_240506-160651,38,1213.03,48
537_240506-160651,39,1219.35,49
537_240506-160651,40,1225.67,50
537_240506-160651,41,1231.99,51
537_240506-160651,42,1238.31,52
537_240506-160651,43,1244.63,53
537_240506-160651,44,1250.95,54
537_240506-160651,45,1257.27,55
537_240506-160651,46,1263.58,56
537_240506-160651,47,1269.9,57
537_240506-160651,48,1276.22,58
537_240506-160651,49,1282.53,59
537_240506-160651,50,1288.85,60
537_240506-160651,51,1295.17,61
537_240506-160651,52,1301.48,62
537_240506-160651,53,1307.79,63
537_240506-160651,54,1314.11,64
537_240506-160651,55,1320.42,65
537_240506-160651,56,1326.74,66
537_240506-160651,57,1333.05,67
537_240506-160651,58,1339.36,68
537_240506-160651,59,1345.67,69
537_240506-160651,60,1351.99,70
537_240506-160651,61,1358.3,71
537_240506-160651,62,1364.61,72
537_240506-160651,63,1370.92,73
537_240506-160651,64,1377.23,74
537_240506-160651,65,1383.54,75
537_240506-160651,66,1389.85,76
537_240506-160651,67,1396.16,77
537_240506-160651,68,1402.47,78
537_240506-160651,69,1408.77,79
537_240506-160651,70,1415.08,80
537_240506-160651,71,1421.39,81
537_240506-160651,72,1427.7,82
537_240506-160651,73,1434.0,83
537_240506-160651,74,1440.31,84
537_240506-160651,75,1446.62,85
537_240506-160651,76,1452.92,86
537_240506-160651,77,1459.23,87
537_240506-160651,78,1465.53,88
537_240506-160651,79,1471.83,89
537_240506-160651,80,1478.14,90
537_240506-160651,81,1484.44,91
537_240506-160651,82,1490.74,92
537_240506-160651,83,1497.05,93
537_240506-160651,84,1503.35,94
537_240506-160651,85,1509.65,95
537_240506-160651,86,1515.95,96
537_240506-160651,87,1522.25,97
537_240506-160651,88,1528.55,98
537_240506-160651,89,1534.85,99
537_240506-160651,90,1541.15,100
537_240506-160651,91,1547.45,101
537_240506-160651,92,1553.75,102
537_240506-160651,93,1560.05,103
537_240506-160651,94,1566.35,104
537_240506-160651,95,1572.64,105
537_240506-160651,96,1578.94,106
537_240506-160651,97,1585.24,107
537_240506-160651,98,1591.53,108
537_240506-160651,99,1597.83,109
537_240506-160651,100,1604.13,110
537_240506-160651,101,1610.42,111
537_240506-160651,102,1616.72,112
537_240506-160651,103,1623.01,113
537_240506-160651,104,1629.3,114
537_240506-160651,105,1635.6,115
537_240506-160651,106,1641.89,116
537_240506-160651,107,1648.18,117
537_240506-160651,108,1654.48,118
537_240506-160651,109,1660.77,119
537_240506-160651,110,1667.06,120
537_240506-160651,111,1673.35,121
537_240506-160651,112,1679.64,122
537_240506-160651,113,1685.93,123
537_240506-160651,114,1692.22,124
537_240506-160651,115,1698.51,125
537_240506-160651,116,1704.8,126
537_240506-160651,117,1711.09,127
537_240506-160651,118,1717.38,128
537_240506-160651,119,1723.66,129
537_240506-160651,120,1729.95,130
537_240506-160651,121,1736.24,131
537_240506-160651,122,1742.53,132
537_240506-160651,123,1748.81,133
537_240506-160651,124,1755.1,134
537_240506-160651,125,1761.38,135
537_240506-160651,126,1767.67,136
537_240506-160651,127,1773.95,137
537_240506-160651,128,1780.24,138
537_240506-160651,129,1786.52,139
537_240506-160651,130,1792.8,140
537_240506-160651,131,1799.09,141
537_240506-160651,132,1805.37,142
537_240506-160651,133,1811.65,143
537_240506-160651,134,1817.93,144
537_240506-160651,135,1824.21,145
537_240506-160651,136,1830.5,146
537_240506-160651,137,1836.78,147
537_240506-160651,138,1843.06,148
537_240506-160651,139,1849.34,149
537_240506-160651,140,1855.61,150
537_240506-160651,141,1861.89,151
537_240506-160651,142,1868.17,152
537_240506-160651,143,1874.45,153
537_240506-160651,144,1880.73,154
537_240506-160651,145,1887.0,155
537_240506-160651,146,1893.28,156
537_240506-160651,147,1899.56,157
537_240506-160651,148,1905.83,158
537_240506-160651,149,1912.11,159
537_240506-160651,150,1918.38,160
537_240506-160651,151,1924.66,161
537_240506-160651,152,1930.93,162
537_240506-160651,153,1937.21,163
537_240506-160651,154,1943.48,164
537_240506-160651,155,1949.75,165
537_240506-160651,156,1956.03,166
537_240506-160651,157,1962.3,167
537_240506-160651,158,1968.57,168
537_240506-160651,159,1974.84,169
537_240506-160651,160,1981.11,170
537_240506-160651,161,1987.39,171
537_240506-160651,162,1993.66,172
537_240506-160651,163,1999.93,173
537_240506-160651,164,2006.19,174
537_240506-160651,165,2012.46,175
537_240506-160651,166,2018.73,176
537_240506-160651,167,2025.0,177
537_240506-160651,168,2031.27,178
537_240506-160651,169,2037.54,179
537_240506-160651,170,2043.8,180
537_240506-160651,171,2050.07,181
537_240506-160651,172,2056.34,182
537_240506-160651,173,2062.6,183
537_240506-160651,174,2068.87,184
537_240506-160651,175,2075.13,185
537_240506-160651,176,2081.4,186
537_240506-160651,177,2087.66,187
537_240506-160651,178,2093.93,188
537_240506-160651,179,2100.19,189
537_240506-160651,180,2106.45,190
537_240506-160651,181,2112.71,191
537_240506-160651,182,2118.98,192
537_240506-160651,183,2125.24,193
537_240506-160651,184,2131.5,194
537_240506-160651,185,2137.76,195
537_240506-160651,186,2144.02,196
537_240506-160651,187,2150.28,197
537_240506-160651,188,2156.54,198
537_240506-160651,189,2162.8,199
537_240506-160651,190,2169.06,200
537_240506-160651,191,2175.32,201
537_240506-160651,192,2181.58,202
537_240506-160651,193,2187.83,203
537_240506-160651,194,2194.09,204
537_240506-160651,195,2200.35,205
537_240506-160651,196,2206.6,206
537_240506-160651,197,2212.86,207
537_240506-160651,198,2219.12,208
537_240506-160651,199,2225.37,209
537_240506-160651,200,2231.63,210
537_240506-160651,201,2237.88,211
537_240506-160651,202,2244.13,212
537_240506-160651,203,2250.39,213
537_240506-160651,204,2256.64,214
537_240506-160651,205,2262.89,215
537_240506-160651,206,2269.15,216
537_240506-160651,207,2275.4,217
537_240506-160651,208,2281.65,218
537_240506-160651,209,2287.9,219
537_240506-160651,210,2294.15,220
537_240506-160651,211,2300.4,221
537_240506-160651,212,2306.65,222
537_240506-160651,213,2312.9,223
537_240506-160651,214,2319.15,224
537_240506-160651,215,2325.4,225
537_240506-160651,216,2331.65,226
537_240506-160651,217,2337.9,227
537_240506-160651,218,2344.14,228
537_240506-160651,219,2350.39,229
537_240506-160651,220,2356.64,230
537_240506-160651,221,2362.88,231
537_240506-160651,222,2369.13,232
537_240506-160651,223,2375.37,233
537_240506-160651,224,2381.62,234
537_240506-160651,225,2387.86,235
537_240506-160651,226,2394.11,236
537_240506-160651,227,2400.35,237
537_240506-160651,228,2406.6,238
537_240506-160651,229,2412.84,239
537_240506-160651,230,2419.08,240
537_240506-160651,231,2425.32,241
537_240506-160651,232,2431.57,242
537_240506-160651,233,2437.81,243
537_240506-160651,234,2444.05,244
537_240506-160651,235,2450.29,245
