dataset,band_index_kept,wavelength_nm,orig_band_index
3491B_240506-155911,0,972.55,10
3491B_240506-155911,1,978.89,11
3491B_240506-155911,2,985.23,12
3491B_240506-155911,3,991.56,13
3491B_240506-155911,4,997.9,14
3491B_240506-155911,5,1004.23,15
3491B_240506-155911,6,1010.56,16
3491B_240506-155911,7,1016.9,17
3491B_240506-155911,8,1023.23,18
3491B_240506-155911,9,1029.56,19
3491B_240506-155911,10,1035.9,20
3491B_240506-155911,11,1042.23,21
3491B_240506-155911,12,1048.56,22
3491B_240506-155911,13,1054.89,23
3491B_240506-155911,14,1061.22,24
3491B_240506-155911,15,1067.55,25
3491B_240506-155911,16,1073.88,26
3491B_240506-155911,17,1080.21,27
3491B_240506-155911,18,1086.54,28
3491B_240506-155911,19,1092.87,29
3491B_240506-155911,20,1099.19,30
3491B_240506-155911,21,1105.52,31
3491B_240506-155911,22,1111.85,32
3491B_240506-155911,23,1118.18,33
3491B_240506-155911,24,1124.5,34
3491B_240506-155911,25,1130.83,35
3491B_240506-155911,26,1137.16,36
3491B_240506-155911,27,1143.48,37
3491B_240506-155911,28,1149.81,38
3491B_240506-155911,29,1156.13,39
3491B_240506-155911,30,1162.45,40
3491B_240506-155911,31,1168.78,41
3491B_240506-155911,32,1175.1,42
3491B_240506-155911,33,1181.42,43
3491B_240506-155911,34,1187.75,44
3491B_240506-155911,35,1194.07,45
3491B_240506-155911,36,1200.39,46
3491B_240506-155911,37,1206.71,47
3491B_240506-155911,38,1213.03,48
3491B_240506-155911,39,1219.35,49
3491B_240506-155911,40,1225.67,50
3491B_240506-155911,41,1231.99,51
3491B_240506-155911,42,1238.31,52
3491B_240506-155911,43,1244.63,53
3491B_240506-155911,44,1250.95,54
3491B_240506-155911,45,1257.27,55
3491B_240506-155911,46,1263.58,56
3491B_240506-155911,47,1269.9,57
3491B_240506-155911,48,1276.22,58
3491B_240506-155911,49,1282.53,59
3491B_240506-155911,50,1288.85,60
3491B_240506-155911,51,1295.17,61
3491B_240506-155911,52,1301.48,62
3491B_240506-155911,53,1307.79,63
3491B_240506-155911,54,1314.11,64
3491B_240506-155911,55,1320.42,65
3491B_240506-155911,56,1326.74,66
3491B_240506-155911,57,1333.05,67
3491B_240506-155911,58,1339.36,68
