epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,242.861,0.2666,0.24801,0.95802,0.43512,0.02119,0.03934,0.00904,2.34723,5.56919,3.02477,0.000996065,0.000996065,0.000996065
43,249.851,0.28682,0.25253,0.97078,0.15789,0.01271,0.08758,0.01811,2.03771,5.50424,3.08478,0.000995871,0.000995871,0.000995871
44,257.136,0.27702,0.26397,0.95431,0.9351,0.00424,0.00682,0.00216,2.10473,5.54837,3.04566,0.000995672,0.000995672,0.000995672
45,264.535,0.27867,0.26998,0.97378,0.969,0.00847,0.00541,0.00135,1.99849,5.64088,2.87366,0.000995469,0.000995469,0.000995469
46,271.857,0.22707,0.22633,0.95677,0.9442,0.00847,0.00761,0.00344,1.95938,5.51654,2.75092,0.000995261,0.000995261,0.000995261
47,279.161,0.26335,0.24279,0.95631,0.35121,0.08898,0.15572,0.0477,3.08035,3.17093,2.97267,0.000995049,0.000995049,0.000995049
48,286.447,0.24492,0.24065,0.93676,0.79152,0.66949,0.59812,0.09134,2.99525,3.11393,3.19228,0.000994831,0.000994831,0.000994831
49,293.741,0.2286,0.22624,0.94137,0.86007,0.55508,0.57491,0.18066,2.61619,2.86112,2.94806,0.00099461,0.00099461,0.00099461
50,301.026,0.22403,0.21995,0.9537,0.86046,0.7055,0.7255,0.25872,1.89599,2.72351,2.4931,0.000994383,0.000994383,0.000994383
51,308.243,0.22402,0.22654,0.93107,0.99006,0.73305,0.74732,0.16251,2.46544,2.62825,2.63341,0.000994152,0.000994152,0.000994152
52,315.415,0.21356,0.22858,0.93475,0.98314,0.74123,0.75133,0.51092,1.84,2.04295,2.48259,0.000993916,0.000993916,0.000993916
53,322.819,0.2304,0.21934,0.94412,0.98915,0.74153,0.8277,0.46396,2.26568,1.09378,3.16451,0.000993676,0.000993676,0.000993676
54,330.199,0.22186,0.21949,0.93907,0.99393,0.73729,0.75761,0.44999,2.47046,1.03508,3.03848,0.000993431,0.000993431,0.000993431
55,337.461,0.23037,0.22678,0.93372,0.74686,0.88559,0.87094,0.41853,2.36573,2.00989,2.56613,0.000993181,0.000993181,0.000993181
56,344.697,0.25124,0.24735,0.94821,0.96835,0.38888,0.9794,0.60542,1.84135,1.71516,2.699,0.000992927,0.000992927,0.000992927
57,352.155,0.27843,0.2409,0.97087,0.96373,0.33781,0.80824,0.21587,3.09322,1.74959,3.44887,0.000992668,0.000992668,0.000992668
58,359.451,0.26173,0.23641,0.96679,0.20803,0.98729,0.36347,0.11831,2.74698,2.16902,2.59075,0.000992405,0.000992405,0.000992405
59,366.737,0.23833,0.22387,0.94766,0.16089,0.01695,0.01519,0.00393,3.00234,4.13125,2.69577,0.000992136,0.000992136,0.000992136
60,373.973,0.25908,0.23019,0.95549,0.11048,0.04237,0.02722,0.00756,3.19824,3.36991,3.31662,0.000991864,0.000991864,0.000991864
61,381.272,0.26192,0.22975,0.96299,0.07111,0.19885,0.09962,0.02652,2.74067,3.34516,2.58321,0.000991586,0.000991586,0.000991586
62,388.474,0.2475,0.22658,0.9633,0.18336,0.27966,0.1059,0.02672,2.87392,2.85266,2.73791,0.000991305,0.000991305,0.000991305
63,395.703,0.28184,0.24286,0.97932,0.25321,0.67797,0.1996,0.1338,1.9985,3.10889,2.90157,0.000991018,0.000991018,0.000991018
64,402.937,0.26085,0.24526,0.96186,0.40263,0.62712,0.30899,0.10045,2.21222,4.00361,2.90988,0.000990727,0.000990727,0.000990727
65,410.278,0.23004,0.21432,0.94253,0.55207,0.66949,0.4602,0.06713,3.6122,3.7497,3.61516,0.000990431,0.000990431,0.000990431
66,417.506,0.23863,0.22598,0.95488,0.14602,0.68644,0.13681,0.02566,3.09482,3.18763,3.08458,0.000990131,0.000990131,0.000990131
67,424.866,0.22329,0.20289,0.9438,0.307,0.65678,0.31846,0.2044,1.89234,3.26447,2.447,0.000989826,0.000989826,0.000989826
68,432.133,0.20825,0.19776,0.92512,0.91694,0.67797,0.6896,0.46097,2.0022,2.32533,2.48657,0.000989516,0.000989516,0.000989516
69,439.457,0.22059,0.2229,0.94406,0.47906,0.72458,0.5411,0.39598,1.61184,2.23994,2.24128,0.000989202,0.000989202,0.000989202
70,446.682,0.21566,0.21625,0.91745,0.95368,0.73729,0.7452,0.56792,1.67489,1.56671,2.59325,0.000988884,0.000988884,0.000988884
71,453.932,0.2082,0.20901,0.92792,0.56287,0.72458,0.67188,0.4943,1.81985,2.03951,3.14951,0.00098856,0.00098856,0.00098856
72,461.209,0.21756,0.21964,0.93323,0.42236,0.88983,0.43857,0.25502,1.79469,2.90626,3.43677,0.000988233,0.000988233,0.000988233
73,468.481,0.22004,0.21031,0.93327,0.97273,0.99153,0.98563,0.72955,1.29093,0.64368,2.85189,0.0009879,0.0009879,0.0009879
74,475.863,0.21976,0.2138,0.93016,0.96325,0.99964,0.98625,0.72628,1.22505,0.79693,2.46491,0.000987563,0.000987563,0.000987563
75,483.05,0.20758,0.20767,0.93388,0.97965,0.99576,0.99181,0.63611,1.47057,0.737,2.55383,0.000987222,0.000987222,0.000987222
76,490.392,0.21795,0.21947,0.92296,0.9975,1,0.995,0.57303,1.71258,0.81469,3.38746,0.000986876,0.000986876,0.000986876
77,565.606,0.20454,0.19767,0.93674,0.98131,0.99153,0.99405,0.75102,1.03644,0.58234,2.09457,0.000986525,0.000986525,0.000986525
78,505.182,0.18193,0.19993,0.91394,0.99578,0.99947,0.99496,0.75983,1.16688,0.61992,2.07695,0.00098617,0.00098617,0.00098617
79,580.613,0.19155,0.18426,0.90889,0.94682,0.90254,0.96429,0.73397,1.2817,0.87536,2.20877,0.00098581,0.00098581,0.00098581
80,520.117,0.19887,0.19636,0.919,0.94211,0.73305,0.83549,0.34231,1.64705,1.51189,2.41107,0.000985446,0.000985446,0.000985446
81,527.455,0.18225,0.18804,0.91403,0.9451,1,0.98796,0.75546,0.99518,0.67544,2.05924,0.000985077,0.000985077,0.000985077
82,534.74,0.18819,0.18198,0.91972,0.84422,0.98739,0.97902,0.87798,0.70884,0.48817,1.70303,0.000984704,0.000984704,0.000984704
83,542.266,0.18401,0.17835,0.9214,0.99795,1,0.995,0.88426,0.74614,0.43063,1.72294,0.000984326,0.000984326,0.000984326
84,549.835,0.19139,0.19323,0.92136,0.95087,0.98419,0.9892,0.84977,0.81856,0.55999,1.62845,0.000983943,0.000983943,0.000983943
85,557.155,0.18382,0.17868,0.91325,0.91964,0.95339,0.98011,0.69589,1.29319,0.68979,2.13189,0.000983556,0.000983556,0.000983556
86,564.387,0.18105,0.18342,0.91778,0.96637,0.85244,0.93479,0.67056,1.4233,0.69375,2.40845,0.000983165,0.000983165,0.000983165
87,571.635,0.18013,0.18385,0.91945,0.90562,0.97034,0.98386,0.73607,1.19786,0.99478,2.39802,0.000982769,0.000982769,0.000982769
88,579.122,0.17742,0.18145,0.92009,0.99336,1,0.995,0.72435,0.99757,1.17571,2.23584,0.000982368,0.000982368,0.000982368
89,586.514,0.16905,0.18047,0.92806,0.98037,0.99153,0.98815,0.82789,0.88699,0.64919,1.82828,0.000981963,0.000981963,0.000981963
90,593.822,0.18861,0.19232,0.91246,0.98286,0.99153,0.98836,0.82784,0.8874,0.72314,1.80285,0.000981554,0.000981554,0.000981554
91,601.204,0.17074,0.18226,0.90332,0.93829,0.76271,0.81576,0.61654,1.32825,1.39238,2.21337,0.00098114,0.00098114,0.00098114
92,608.512,0.19691,0.20217,0.92587,0.4518,0.77542,0.43862,0.13939,1.96945,2.96364,2.96634,0.000980721,0.000980721,0.000980721
93,615.93,0.17526,0.17982,0.93716,0.38693,0.72881,0.38128,0.08019,2.80773,3.26526,3.61004,0.000980298,0.000980298,0.000980298
94,623.219,0.18514,0.18522,0.90975,0.22743,0.73305,0.24895,0.10644,1.94976,2.89086,2.84275,0.00097987,0.00097987,0.00097987
95,630.584,0.20478,0.17456,0.93539,0.18465,0.95339,0.28002,0.08941,2.49206,2.87692,2.96344,0.000979438,0.000979438,0.000979438
96,705.876,0.18135,0.17289,0.90902,0.28154,0.66525,0.22918,0.04138,3.52015,3.31322,3.94619,0.000979002,0.000979002,0.000979002
97,645.285,0.18319,0.17119,0.92365,0.03838,0.47881,0.03408,0.00508,2.82987,5.05238,3.26132,0.000978561,0.000978561,0.000978561
98,652.604,0.17725,0.18326,0.91575,0.0382,0.16949,0.02951,0.00752,2.59763,4.95034,2.89538,0.000978115,0.000978115,0.000978115
99,659.984,0.1819,0.17317,0.91539,0.96533,0.75,0.75974,0.53084,1.59548,2.06994,2.11061,0.000977665,0.000977665,0.000977665
100,667.525,0.17304,0.17606,0.91248,0.96615,0.73729,0.7431,0.35821,2.07274,2.9885,2.34419,0.000977211,0.000977211,0.000977211
101,675.012,0.16689,0.17602,0.92107,0.98464,0.74153,0.75195,0.39962,1.49194,2.51131,1.89647,0.000976752,0.000976752,0.000976752
102,682.267,0.15961,0.1671,0.91456,0.99579,0.74153,0.80727,0.54119,1.60903,1.6834,2.15579,0.000976288,0.000976288,0.000976288
103,689.488,0.16714,0.17561,0.90691,0.97003,1,0.99205,0.75195,1.30511,0.75122,2.09428,0.000975821,0.000975821,0.000975821
104,696.912,0.15703,0.16091,0.90045,0.9993,1,0.995,0.79009,1.15223,0.51044,2.37524,0.000975348,0.000975348,0.000975348
105,704.215,0.16754,0.17083,0.91116,0.99511,0.99576,0.9939,0.75032,1.27143,0.60479,2.5152,0.000974872,0.000974872,0.000974872
106,711.385,0.17008,0.17296,0.90689,0.99156,0.99508,0.98994,0.73964,1.40679,0.51824,2.7629,0.000974391,0.000974391,0.000974391
107,718.624,0.15157,0.16157,0.91465,0.99069,0.99576,0.99015,0.72283,1.4211,0.52216,2.69227,0.000973905,0.000973905,0.000973905
108,725.862,0.14649,0.16141,0.89206,0.98902,0.99576,0.99038,0.6588,1.55,0.58101,2.65448,0.000973415,0.000973415,0.000973415
109,800.95,0.16138,0.16607,0.90844,0.98523,0.99576,0.99241,0.64291,1.54344,0.54871,2.83119,0.000972921,0.000972921,0.000972921
110,740.29,0.16802,0.17163,0.90818,0.97355,0.99576,0.98997,0.62566,1.65162,0.62039,2.7259,0.000972422,0.000972422,0.000972422
111,747.465,0.1496,0.16676,0.90514,0.99872,1,0.995,0.66244,1.44837,0.59007,2.7944,0.000971918,0.000971918,0.000971918
112,754.725,0.15657,0.15894,0.91705,0.98681,1,0.99154,0.70859,1.28544,0.62859,2.86939,0.000971411,0.000971411,0.000971411
113,761.949,0.15674,0.15346,0.90737,0.97514,0.99743,0.98988,0.7125,1.34645,0.81537,3.00334,0.000970899,0.000970899,0.000970899
114,769.142,0.15109,0.15739,0.90153,0.99557,1,0.995,0.7746,1.01462,0.61579,2.27226,0.000970382,0.000970382,0.000970382
115,776.34,0.14397,0.15175,0.89305,0.99507,0.99576,0.99085,0.81555,0.75105,0.46702,1.99794,0.000969861,0.000969861,0.000969861
116,783.501,0.15369,0.16302,0.90764,0.98196,0.99576,0.99003,0.77353,0.88084,0.53202,2.10749,0.000969336,0.000969336,0.000969336
117,790.71,0.1444,0.14883,0.91573,0.97788,0.99153,0.97884,0.76888,0.86185,0.50824,1.96109,0.000968806,0.000968806,0.000968806
118,797.856,0.15331,0.16202,0.90304,0.97451,0.98729,0.96936,0.84788,0.72004,0.45951,1.80005,0.000968272,0.000968272,0.000968272
119,805.045,0.15866,0.15865,0.91703,0.98548,0.99153,0.98901,0.85818,0.79568,0.51248,1.93471,0.000967734,0.000967734,0.000967734
120,812.24,0.14786,0.15035,0.91366,0.99399,0.99576,0.995,0.757,1.0891,0.60756,2.93149,0.000967191,0.000967191,0.000967191
121,819.512,0.15156,0.14841,0.91003,0.99834,1,0.995,0.7623,1.05512,0.67601,2.74111,0.000966644,0.000966644,0.000966644
122,826.723,0.14815,0.15536,0.90617,0.99904,1,0.995,0.78271,1.03681,0.64102,2.32675,0.000966092,0.000966092,0.000966092
123,834.007,0.14666,0.14975,0.91676,0.94648,1,0.98803,0.78678,1.0316,0.54036,2.27267,0.000965536,0.000965536,0.000965536
