dataset,band_index_kept,wavelength_nm,orig_band_index
539_240506-160131,0,972.55,10
539_240506-160131,1,978.89,11
539_240506-160131,2,985.23,12
539_240506-160131,3,991.56,13
539_240506-160131,4,997.9,14
539_240506-160131,5,1004.23,15
539_240506-160131,6,1010.56,16
539_240506-160131,7,1016.9,17
539_240506-160131,8,1023.23,18
539_240506-160131,9,1029.56,19
539_240506-160131,10,1035.9,20
539_240506-160131,11,1042.23,21
539_240506-160131,12,1048.56,22
539_240506-160131,13,1054.89,23
539_240506-160131,14,1061.22,24
539_240506-160131,15,1067.55,25
539_240506-160131,16,1073.88,26
539_240506-160131,17,1080.21,27
539_240506-160131,18,1086.54,28
539_240506-160131,19,1092.87,29
539_240506-160131,20,1099.19,30
539_240506-160131,21,1105.52,31
539_240506-160131,22,1111.85,32
539_240506-160131,23,1118.18,33
539_240506-160131,24,1124.5,34
539_240506-160131,25,1130.83,35
539_240506-160131,26,1137.16,36
539_240506-160131,27,1143.48,37
539_240506-160131,28,1149.81,38
539_240506-160131,29,1156.13,39
539_240506-160131,30,1162.45,40
539_240506-160131,31,1168.78,41
539_240506-160131,32,1175.1,42
539_240506-160131,33,1181.42,43
539_240506-160131,34,1187.75,44
539_240506-160131,35,1194.07,45
539_240506-160131,36,1200.39,46
539_240506-160131,37,1206.71,47
539_240506-160131,38,1213.03,48
539_240506-160131,39,1219.35,49
539_240506-160131,40,1225.67,50
539_240506-160131,41,1231.99,51
539_240506-160131,42,1238.31,52
539_240506-160131,43,1244.63,53
539_240506-160131,44,1250.95,54
539_240506-160131,45,1257.27,55
539_240506-160131,46,1263.58,56
539_240506-160131,47,1269.9,57
539_240506-160131,48,1276.22,58
539_240506-160131,49,1282.53,59
539_240506-160131,50,1288.85,60
539_240506-160131,51,1295.17,61
539_240506-160131,52,1301.48,62
539_240506-160131,53,1307.79,63
539_240506-160131,54,1314.11,64
539_240506-160131,55,1320.42,65
539_240506-160131,56,1326.74,66
539_240506-160131,57,1333.05,67
539_240506-160131,58,1339.36,68
539_240506-160131,59,1345.67,69
539_240506-160131,60,1351.99,70
539_240506-160131,61,1358.3,71
539_240506-160131,62,1364.61,72
539_240506-160131,63,1370.92,73
539_240506-160131,64,1377.23,74
539_240506-160131,65,1383.54,75
539_240506-160131,66,1389.85,76
539_240506-160131,67,1396.16,77
539_240506-160131,68,1402.47,78
539_240506-160131,69,1408.77,79
539_240506-160131,70,1415.08,80
539_240506-160131,71,1421.39,81
539_240506-160131,72,1427.7,82
539_240506-160131,73,1434.0,83
539_240506-160131,74,1440.31,84
539_240506-160131,75,1446.62,85
539_240506-160131,76,1452.92,86
539_240506-160131,77,1459.23,87
539_240506-160131,78,1465.53,88
539_240506-160131,79,1471.83,89
539_240506-160131,80,1478.14,90
539_240506-160131,81,1484.44,91
539_240506-160131,82,1490.74,92
539_240506-160131,83,1497.05,93
539_240506-160131,84,1503.35,94
539_240506-160131,85,1509.65,95
539_240506-160131,86,1515.95,96
539_240506-160131,87,1522.25,97
539_240506-160131,88,1528.55,98
539_240506-160131,89,1534.85,99
539_240506-160131,90,1541.15,100
539_240506-160131,91,1547.45,101
539_240506-160131,92,1553.75,102
539_240506-160131,93,1560.05,103
539_240506-160131,94,1566.35,104
539_240506-160131,95,1572.64,105
539_240506-160131,96,1578.94,106
539_240506-160131,97,1585.24,107
539_240506-160131,98,1591.53,108
539_240506-160131,99,1597.83,109
539_240506-160131,100,1604.13,110
539_240506-160131,101,1610.42,111
539_240506-160131,102,1616.72,112
539_240506-160131,103,1623.01,113
539_240506-160131,104,1629.3,114
539_240506-160131,105,1635.6,115
539_240506-160131,106,1641.89,116
539_240506-160131,107,1648.18,117
539_240506-160131,108,1654.48,118
539_240506-160131,109,1660.77,119
539_240506-160131,110,1667.06,120
539_240506-160131,111,1673.35,121
539_240506-160131,112,1679.64,122
539_240506-160131,113,1685.93,123
539_240506-160131,114,1692.22,124
539_240506-160131,115,1698.51,125
539_240506-160131,116,1704.8,126
539_240506-160131,117,1711.09,127
539_240506-160131,118,1717.38,128
539_240506-160131,119,1723.66,129
539_240506-160131,120,1729.95,130
539_240506-160131,121,1736.24,131
539_240506-160131,122,1742.53,132
539_240506-160131,123,1748.81,133
539_240506-160131,124,1755.1,134
539_240506-160131,125,1761.38,135
539_240506-160131,126,1767.67,136
539_240506-160131,127,1773.95,137
539_240506-160131,128,1780.24,138
539_240506-160131,129,1786.52,139
539_240506-160131,130,1792.8,140
539_240506-160131,131,1799.09,141
539_240506-160131,132,1805.37,142
539_240506-160131,133,1811.65,143
539_240506-160131,134,1817.93,144
539_240506-160131,135,1824.21,145
539_240506-160131,136,1830.5,146
539_240506-160131,137,1836.78,147
539_240506-160131,138,1843.06,148
539_240506-160131,139,1849.34,149
539_240506-160131,140,1855.61,150
539_240506-160131,141,1861.89,151
539_240506-160131,142,1868.17,152
539_240506-160131,143,1874.45,153
539_240506-160131,144,1880.73,154
539_240506-160131,145,1887.0,155
539_240506-160131,146,1893.28,156
539_240506-160131,147,1899.56,157
539_240506-160131,148,1905.83,158
539_240506-160131,149,1912.11,159
539_240506-160131,150,1918.38,160
539_240506-160131,151,1924.66,161
