sample,image,staphylococcus_prob
3491B_240506-155911,band_000_973nm.png,0.9581261277198792
3491B_240506-155911,band_001_979nm.png,0.9593603014945984
3491B_240506-155911,band_002_985nm.png,0.9140762090682983
3491B_240506-155911,band_003_992nm.png,0.9420149326324463
3491B_240506-155911,band_004_998nm.png,0.9383905529975891
3491B_240506-155911,band_005_1004nm.png,0.9467836022377014
3491B_240506-155911,band_006_1011nm.png,0.9368739128112793
3491B_240506-155911,band_007_1017nm.png,0.9340574145317078
3491B_240506-155911,band_008_1023nm.png,0.9472423791885376
3491B_240506-155911,band_009_1030nm.png,0.9437565207481384
3491B_240506-155911,band_010_1036nm.png,0.9368616938591003
3491B_240506-155911,band_011_1042nm.png,0.9369462132453918
3491B_240506-155911,band_012_1049nm.png,0.9412829279899597
3491B_240506-155911,band_013_1055nm.png,0.9325146675109863
3491B_240506-155911,band_014_1061nm.png,0.9464656114578247
3491B_240506-155911,band_015_1068nm.png,0.9500763416290283
3491B_240506-155911,band_016_1074nm.png,0.9471468925476074
3491B_240506-155911,band_017_1080nm.png,0.9406754970550537
3491B_240506-155911,band_018_1087nm.png,0.9432761073112488
3491B_240506-155911,band_019_1093nm.png,0.9467185735702515
3491B_240506-155911,band_020_1099nm.png,0.9471442103385925
3491B_240506-155911,band_021_1106nm.png,0.9446088075637817
3491B_240506-155911,band_022_1112nm.png,0.9463011026382446
3491B_240506-155911,band_023_1118nm.png,0.9503601789474487
3491B_240506-155911,band_024_1124nm.png,0.9416013956069946
3491B_240506-155911,band_025_1131nm.png,0.9480006098747253
3491B_240506-155911,band_026_1137nm.png,0.9486346244812012
3491B_240506-155911,band_027_1143nm.png,0.9474377036094666
3491B_240506-155911,band_028_1150nm.png,0.9492217898368835
3491B_240506-155911,band_029_1156nm.png,0.950253963470459
3491B_240506-155911,band_030_1162nm.png,0.9517709016799927
3491B_240506-155911,band_031_1169nm.png,0.9512977004051208
3491B_240506-155911,band_032_1175nm.png,0.9474011659622192
3491B_240506-155911,band_033_1181nm.png,0.9483910799026489
3491B_240506-155911,band_034_1188nm.png,0.9495422840118408
3491B_240506-155911,band_035_1194nm.png,0.9464516043663025
3491B_240506-155911,band_036_1200nm.png,0.9376102685928345
3491B_240506-155911,band_037_1207nm.png,0.9506359100341797
3491B_240506-155911,band_038_1213nm.png,0.929898202419281
3491B_240506-155911,band_039_1219nm.png,0.9503191709518433
3491B_240506-155911,band_040_1226nm.png,0.9512935280799866
3491B_240506-155911,band_041_1232nm.png,0.9493034482002258
3491B_240506-155911,band_042_1238nm.png,0.9413567781448364
3491B_240506-155911,band_043_1245nm.png,0.9421001076698303
3491B_240506-155911,band_044_1251nm.png,0.9532471299171448
3491B_240506-155911,band_045_1257nm.png,0.9493151307106018
3491B_240506-155911,band_046_1264nm.png,0.9450591802597046
3491B_240506-155911,band_047_1270nm.png,0.9457551836967468
3491B_240506-155911,band_048_1276nm.png,0.9496522545814514
3491B_240506-155911,band_049_1283nm.png,0.9474369883537292
3491B_240506-155911,band_050_1289nm.png,0.9386388659477234
3491B_240506-155911,band_051_1295nm.png,0.9436947107315063
3491B_240506-155911,band_052_1301nm.png,0.9468403458595276
3491B_240506-155911,band_053_1308nm.png,0.9469932317733765
3491B_240506-155911,band_054_1314nm.png,0.9480361938476562
3491B_240506-155911,band_055_1320nm.png,0.9508203864097595
3491B_240506-155911,band_056_1327nm.png,0.9401652812957764
3491B_240506-155911,band_057_1333nm.png,0.9441908597946167
3491B_240506-155911,band_058_1339nm.png,0.9455338716506958
3491B_240506-155911,band_059_1346nm.png,0.9448873400688171
3491B_240506-155911,band_060_1352nm.png,0.950454831123352
3491B_240506-155911,band_061_1358nm.png,0.9557692408561707
3491B_240506-155911,band_062_1365nm.png,0.9544895887374878
3491B_240506-155911,band_063_1371nm.png,0.9504802823066711
3491B_240506-155911,band_064_1377nm.png,0.9292731285095215
3491B_240506-155911,band_065_1384nm.png,0.9295278787612915
3491B_240506-155911,band_066_1390nm.png,0.937626838684082
3491B_240506-155911,band_067_1396nm.png,0.940733790397644
3491B_240506-155911,band_068_1402nm.png,0.9368366599082947
3491B_240506-155911,band_069_1409nm.png,0.9387583136558533
3491B_240506-155911,band_070_1415nm.png,0.9465770125389099
3491B_240506-155911,band_071_1421nm.png,0.9454314112663269
